date,close,news_score
2020-01-03,74.3575,0.0
2020-01-06,74.95,0.0
2020-01-07,74.5975,0.0
2020-01-08,75.7975,0.0
2020-01-09,77.4075,0.0
2020-01-10,77.5825,0.0
2020-01-13,79.24,0.0
2020-01-14,78.17,0.0
2020-01-15,77.835,0.0
2020-01-16,78.81,0.0
2020-01-17,79.6825,0.0
2020-01-21,79.1425,0.0
2020-01-22,79.425,0.0
2020-01-23,79.8075,0.0
2020-01-24,79.5775,0.0
2020-01-27,77.2375,0.0
2020-01-28,79.4225,0.0
2020-01-29,81.085,0.0
2020-01-30,80.9675,0.0
2020-01-31,77.3775,0.0
2020-02-03,77.165,0.0
2020-02-04,79.7125,0.0
2020-02-05,80.3625,0.0
2020-02-06,81.3025,0.0
2020-02-07,80.0075,0.0
2020-02-10,80.3875,0.0
2020-02-11,79.9025,0.0
2020-02-12,81.8,0.0
2020-02-13,81.2175,0.0
2020-02-14,81.2375,0.0
2020-02-18,79.75,0.0
2020-02-19,80.905,0.0
2020-02-20,80.075,0.0
2020-02-21,78.2625,0.0
2020-02-24,74.545,0.0
2020-02-25,72.02,0.0
2020-02-26,73.1625,0.0
2020-02-27,68.38,0.0
2020-02-28,68.34,0.0
2020-03-02,74.7025,0.0
2020-03-03,72.33,0.0
2020-03-04,75.685,0.0
2020-03-05,73.23,0.0
2020-03-06,72.2575,0.0
2020-03-09,66.5425,0.0
2020-03-10,71.335,0.0
2020-03-11,68.8575,0.0
2020-03-12,62.0575,0.0
2020-03-13,69.4925,0.0
2020-03-16,60.5525,0.0
2020-03-17,63.215,0.0
2020-03-18,61.6675,0.0
2020-03-19,61.195,0.0
2020-03-20,57.31,0.0
2020-03-23,56.0925,0.0
2020-03-24,61.72,0.0
2020-03-25,61.38,0.0
2020-03-26,64.61,0.0
2020-03-27,61.935,-0.5
2020-03-30,63.7025,-0.5
2020-03-31,63.5725,0.0
2020-04-01,60.2275,0.0
2020-04-02,61.2325,0.0
2020-04-03,60.3525,0.0
2020-04-06,65.6175,0.0
2020-04-07,64.8575,0.5
2020-04-08,66.5175,0.0
2020-04-09,66.9975,0.0
2020-04-13,68.3125,0.0
2020-04-14,71.7625,0.0
2020-04-15,71.1075,0.0
2020-04-16,71.6725,0.0
2020-04-17,70.7,0.0
2020-04-20,69.2325,0.0
2020-04-21,67.0925,0.0
2020-04-22,69.025,0.0
2020-04-23,68.7575,0.0
2020-04-24,70.7425,0.0
2020-04-27,70.7925,-0.6
2020-04-28,69.645,0.0
2020-04-29,71.9325,0.0
2020-04-30,73.45,-1.0
2020-05-01,72.2675,0.0
2020-05-04,73.29,0.0
2020-05-05,74.39,0.5
2020-05-06,75.1575,0.0
2020-05-07,75.935,0.5
2020-05-08,77.5325,0.0
2020-05-11,78.7525,0.0
2020-05-12,77.8525,1.0
2020-05-13,76.9125,0.5
2020-05-14,77.385,0.0
2020-05-15,76.9275,0.0
2020-05-18,78.74,0.0
2020-05-19,78.285,1.0
2020-05-20,79.8075,0.0
2020-05-21,79.2125,0.0
2020-05-22,79.7225,0.0
2020-05-26,79.1825,0.0
2020-05-27,79.5275,0.0
2020-05-28,79.5625,-1.0
2020-05-29,79.485,0.0
2020-06-01,80.4625,0.0
2020-06-02,80.835,0.0
2020-06-03,81.28,0.0
2020-06-04,80.58,0.0
2020-06-05,82.875,0.0
2020-06-08,83.365,0.0
2020-06-09,85.9975,0.0
2020-06-10,88.21,0.0
2020-06-11,83.975,0.0
2020-06-12,84.7,0.0
2020-06-15,85.7475,1.0
2020-06-16,88.02,0.0
2020-06-17,87.8975,0.0
2020-06-18,87.9325,0.0
2020-06-19,87.43,1.0
2020-06-22,89.7175,0.0
2020-06-23,91.6325,0.0
2020-06-24,90.015,0.0
2020-06-25,91.21,0.0
2020-06-26,88.4075,0.0
2020-06-29,90.445,0.0
2020-06-30,91.2,0.0
2020-07-01,91.0275,0.0
2020-07-02,91.0275,0.0
2020-07-06,93.4625,0.0
2020-07-07,93.1725,-0.3333333333333333
2020-07-08,95.3425,0.0
2020-07-09,95.6825,0.0
2020-07-10,95.92,0.0
2020-07-13,95.4775,0.0
2020-07-14,97.0575,0.0
2020-07-15,97.725,0.0
2020-07-16,96.5225,1.0
2020-07-17,96.3275,1.0
2020-07-20,98.3575,0.0
2020-07-21,97.0,0.0
2020-07-22,97.2725,0.0
2020-07-23,92.845,0.0
2020-07-24,92.615,0.0
2020-07-27,94.81,0.0
2020-07-28,93.2525,0.0
2020-07-29,95.04,0.0
2020-07-30,96.19,0.0
2020-07-31,106.26,0.0
2020-08-03,108.9375,0.5
2020-08-04,109.665,0.0
2020-08-05,110.0625,1.0
2020-08-06,113.9025,1.0
2020-08-07,111.1125,1.0
2020-08-10,112.7275,1.0
2020-08-11,109.375,0.0
2020-08-12,113.01,0.0
2020-08-13,115.01,0.0
2020-08-14,114.9075,0.0
2020-08-17,114.6075,0.0
2020-08-18,115.5625,0.0
2020-08-19,115.7075,-1.0
