date,sue,sur,qa_sentiment,analyst_sentiment,executive_sentiment,tone_dispersion
2011-01-18,,,0.1018419560038462,-0.05184326511161995,0.1629802048813327,0.3989440004741321
2011-04-20,,,0.111925458683463,-0.01715946367364257,0.1830152923557894,0.4430152442297819
2011-07-19,,,0.1094386297722378,0.002254452499865188,0.1522454536148868,0.417344940124953
2011-10-18,,,0.1193346948471891,0.0009719861893687926,0.1765263495020554,0.4622534680987911
2012-01-24,,,0.01584231151412796,-0.05202697360234902,0.04842996231530423,0.4599042967618859
2012-04-24,,,-0.02805802110829433,-0.1435374984412207,0.02547519945745244,0.5547217708044486
2012-07-24,,,0.06854012915113719,-0.05309173004858194,0.1155693080006135,0.5556489030291685
2012-10-25,0.0,0.07300961055152733,-0.04217433960489732,-0.07924769772320778,-0.02729035173899927,0.4939161083542965
2013-01-23,0.1791928897671982,-0.1151492504394302,-0.06289606722311694,-0.05225295415009695,-0.07017121831410389,0.4742019216623825
2013-04-23,0.0,0.4064236162488688,-0.08675901692821722,-0.2585940773622082,0.009468908334707454,0.5381122722927877
2013-07-23,0.1819256076366051,0.12673024129492,-0.02141371303277198,-0.1585069945683173,0.05152418910828235,0.5905078025346294
2013-10-28,0.1861544126431997,0.1910899156553905,0.09842540295123721,-0.02206653120980274,0.1665370452072976,0.4773391737647044
2014-01-27,0.6035127523726594,0.1266094495303693,-0.01919430486714598,-0.07325183013475525,0.009729271621644997,0.5116519104644015
2014-04-23,2.005738892714385,1.607107474577208,0.06931821883551123,-0.08497056149860194,0.1168359935253853,0.4418702703488527
2014-07-22,0.6257862187747442,-0.7024680401453299,-0.05272747942557371,-0.1869122882258486,-0.00082384384284101,0.4321196905259249
2014-10-20,1.897366596101028,2.17556315693628,0.110577662899536,0.09364375923621902,0.1187086277729544,0.3136084236228557
2015-01-27,3.067753430624944,2.949127549560683,-0.05789492514225351,-0.1545278040478517,-0.02788949964101359,0.470755668688233
2015-04-27,1.183215956619923,0.7816594678754967,0.106901341435193,-0.1269423198122034,0.2539688805483038,0.5075378425842861
2015-07-21,0.2958039891549809,0.05646325255032741,0.1161349800237979,-0.03800396739560953,0.1711395224266551,0.4188595773393541
2015-10-27,0.6074767539501295,0.228750026931681,0.04047487749951251,-0.05125087706150878,0.07082274635950744,0.247784330715423
2016-01-26,0.2958039891549809,-0.2803899985130094,-0.142997932920902,-0.223604003924149,-0.1074699287700434,0.4445474525571285
2016-04-26,-0.7500000000000001,-0.54816185687076,-0.07624281855223422,-0.1815318063062442,-0.01350766817553863,0.5065815163489934
2016-07-26,0.2500000000000001,0.09395405467048902,-0.0706384316763393,-0.1187689657253797,-0.04541453928288065,0.4427887709942762
2016-10-25,0.0,-0.05093284713540765,-0.04042752096458721,-0.02145150981283718,-0.05046081299504376,0.4164627444515203
2017-01-31,1.428455750088016,1.036479372080791,0.08752232416453364,0.0,0.1207306713683234,0.4792852917857047
2017-05-02,1.10636509157104,-0.2315975222463013,0.1779509870016855,0.09664711356503265,0.2119553022930044,0.4599825754843095
2017-08-01,1.080123449734644,0.5856169097135491,0.1428904838258009,0.0,0.2051722588405921,0.3499611313529395
2017-11-02,2.14952600500776,1.803608559707301,0.1364564229976616,0.06974835407933558,0.1948403673446579,0.3866055467948106
2018-02-01,0.4299052010015521,0.6834315426702021,0.08755493765075863,-0.06513129042000906,0.1528483597249389,0.34328551505549
2018-05-01,0.6440611887195309,0.3291060017613423,0.00301346562666234,-0.1071008268156728,0.04155962429949332,0.3182001890572589
2018-07-31,2.396578758061114,1.234077380892429,-0.06816008631079223,-0.1081475278537278,-0.05707215747086804,0.3473709048703573
2018-11-01,2.130854415613734,2.048500422118797,0.02666901484889524,-0.2153250513086024,0.0964733375373305,0.398517747096362
2019-01-29,0.0,0.4783916227065107,-0.01555064372959945,-0.2535142638071517,0.04652815158621833,0.2968743431117116
2019-04-30,1.198289379030557,1.118424962638486,0.1567180235687483,-0.06118345257499716,0.3137847874226657,0.435371452966213
2019-07-30,1.198289379030557,0.640193325355448,0.1420350958716605,0.0,0.2039284580252278,0.4683333770716498
2019-10-30,2.995723447576392,2.600585373539668,0.1646714295001026,0.08267643916106142,0.201774916441388,0.3708837416313842
2020-01-28,3.213917903849277,3.279399355765165,0.06385646962902744,0.04405900151425586,0.07488799172630772,0.5753037186588701
2020-04-30,2.02676698984805,2.738473667147022,-0.01080047973447967,-0.09319653973498648,0.02103550063566854,0.406727877878949
2020-07-30,2.809491834889112,2.994873062025551,0.0905799429183228,0.04720612755885614,0.1147704588956473,0.4085198699766994
2020-10-29,0.6483442695897951,0.5760926607482652,0.2099609730536445,0.04986567765098006,0.293311202087164,0.4072804474167785
2021-01-27,3.200811805010734,2.716550112069533,0.1217459769052659,-0.01527405498498449,0.2129052356156593,0.4853271537866595
2021-04-28,3.036739507079229,2.940113046509874,0.1463442458348918,0.02412822593267167,0.206968231944805,0.4650842364347086
2021-07-27,2.133873888136968,2.058791186251499,0.2598769518684457,0.0,0.3629746215319573,0.4658001083114063
2021-10-28,0.0,-0.3123263904201504,0.04238953879204535,-0.02603954151385333,0.08929011689521968,0.3459116029311372
2022-01-27,1.476511004280941,1.24398148160987,0.1719864838339638,0.1194131319333637,0.2018708244456099,0.3773686966514228
2022-04-28,0.6415724783756505,0.755108373723254,0.1143870751185275,0.005288534805875522,0.1844721411655294,0.4460880108187482
2022-07-28,0.270217845395778,-0.00201007248707977,-0.1084955468985508,-0.1258277512129501,-0.0975613508212868,0.4233715453570983
2022-10-27,0.1338870278839418,0.2920253772321617,-0.0250186907178009,-0.07794862103818778,0.0001735055485953541,0.415861449708343
2023-02-02,-0.4262461234972869,-0.8328421956987638,0.07236047910748576,-0.04437062970813029,0.1513906699734464,0.453746567592911
2023-05-04,0.7717943040735621,0.509507043022729,0.1460514218578697,-0.05011707790824819,0.3002950536317601,0.5204464347071196
2023-08-03,0.8562136357288496,-0.001116698155948259,0.251050620609981,0.0,0.4114896875543411,0.5029651511230753
2023-11-02,0.8910563851303024,0.04568485211833837,0.04987928262454805,0.03320196084348796,0.06135548793887521,0.4370107581600375
2024-02-01,1.486020294432478,0.5689009447258933,0.1385044586645113,0.003592350059446409,0.2231469456361626,0.4318976072321342
2024-05-02,0.3859224924939798,0.1496432524405878,0.05771196918434968,-0.09012336925254406,0.1617086358853201,0.4836838666777312
2024-08-01,1.147138567458348,0.6727369757228306,0.2101949965000837,-0.05183064270919757,0.3590953798276421,0.4822239561585797
2024-10-31,0.7759835936631704,0.2562872629587209,0.1336919313430247,-0.07045009290606041,0.2754685852346022,0.4193802649336225
