date,close,market_return,finbert_score,qwen_score,qwen_position,qwen_return,qwen_equity,finbert_position,finbert_return,finbert_equity,core_equity,benchmark_equity
2024-10-01,226.21,-0.0291416309012875,0.0,0.5454545454545454,0.5,-0.01482081545064375,0.9851791845493563,0.5,-0.01482081545064375,0.9851791845493563,0.9851791845493563,0.9708583690987125
2024-10-02,226.78,0.0025197825029839,0.0625,0.875,0.5,0.00125989125149195,0.9864204031851219,0.5,0.00125989125149195,0.9864204031851219,0.9864204031851219,0.973304721030043
2024-10-03,225.67,-0.0048946115177705,0.25,1.0,-1.0,0.0041446115177705,0.9905087325495269,0.5,-0.00244730575888525,0.9840063308517251,0.9840063308517251,0.968540772532189
2024-10-04,226.8,0.0050073115611291,0.4,0.9,-1.0,-0.0050073115611291,0.9855489467216323,0.5,0.00250365578056455,0.986469943990074,0.986469943990074,0.9733905579399142
2024-10-07,221.69,-0.0225308641975309,-0.3125,0.0,-1.0,0.0225308641975309,1.0077542162002369,-1.0,0.0217808641975309,1.007956111875068,0.9753569338185809,0.9514592274678112
2024-10-08,225.77,0.0184040777662501,0.3636363636363636,1.0,-1.0,-0.0184040777662501,0.9892074292360213,-1.0,-0.0184040777662501,0.9894056092071521,0.9843322062485051,0.9689699570815451
2024-10-09,229.54,0.0166984098861673,0.0666666666666666,0.5384615384615384,-1.0,-0.0166984098861673,0.9726892381201964,-1.0,-0.0166984098861673,0.972884108800938,0.9925505975705515,0.9851502145922747
2024-10-10,229.04,-0.0021782695826435,0.0,0.896551724137931,-1.0,0.0021782695826435,0.9748080175009584,-1.0,0.0021782695826435,0.9750033126625763,0.9914695761825902,0.9830042918454935
2024-10-11,227.55,-0.0065054139015018,0.0,0.5,0.5,-0.0040027069507509,0.9709061466736596,0.5,-0.0040027069507509,0.9711006601259767,0.9882446162006832,0.9766094420600859
2024-10-14,231.3,0.016479894528675,0.7272727272727273,1.0,0.5,0.0082399472643375,0.9789063621208717,0.5,0.0082399472643375,0.9791024783537782,0.9963876997224422,0.9927038626609443
2024-10-15,233.85,0.0110246433203631,0.4666666666666667,0.8666666666666667,0.5,0.00551232166018155,0.98430240886408,0.5,0.00551232166018155,0.9844996061527451,1.0018801092215608,1.003648068669528
2024-10-16,231.78,-0.0088518280949325,0.0,0.6896551724137931,0.5,-0.00442591404746625,0.9799459710057337,0.5,-0.00442591404746625,0.9801422955161486,0.99744587397228,0.9947639484978543
2024-10-17,232.15,0.0015963413581845,0.032258064516129,0.6666666666666666,0.5,0.00079817067909225,0.9807281351468851,0.5,0.00079817067909225,0.9809246163577678,0.9982420060228663,0.9963519313304724
2024-10-18,235.0,0.0122765453370665,0.0384615384615384,0.9230769230769231,0.5,0.00613827266853325,0.9867481118541188,0.5,0.00613827266853325,0.9869457991202483,1.0043694876450182,1.0085836909871249
2024-10-21,236.48,0.0062978723404254,0.1428571428571428,0.8571428571428571,0.5,0.0031489361702127,0.9898553186744252,0.5,0.0031489361702127,0.9900536284451374,1.0075321830529216,1.014935622317597
2024-10-22,235.86,-0.0026217861975641,0.0,-0.3333333333333333,0.5,-0.00131089309878205,0.9885577241683822,0.5,-0.00131089309878205,0.9887557739761845,1.0062114160673568,1.0122746781115886
2024-10-23,230.76,-0.0216229966929535,-0.75,-1.0,0.5,-0.01081149834647675,0.9778699339681388,0.5,-0.01081149834647675,0.9780658425607717,0.9953327630063384,0.990386266094421
2024-10-24,230.57,-0.000823366267984,0.5,1.0,0.5,-0.000411683133992,0.9774673614090863,0.5,-0.000411683133992,0.9776631893494557,0.9949230012950991,0.9895708154506443
2024-10-25,231.41,0.0036431452487313,-0.6666666666666666,0.3333333333333333,0.5,0.00182157262436565,0.9792478891958399,0.5,0.00182157262436565,0.9794440738510246,0.9967353257976099,0.9931759656652365
2024-10-28,233.4,0.008599455511862,0.0,1.0,-1.0,-0.009349455511862,0.9700924546207187,-1.0,-0.009349455511862,0.9702868050561976,1.0010210163432587,1.0017167381974252
2024-10-29,233.67,0.0011568123393315,0.3333333333333333,0.6666666666666666,-1.0,-0.0011568123393315,0.968970239698921,-1.0,-0.0011568123393315,0.969164365307418,1.0016000130750766,1.002875536480687
2024-10-30,230.1,-0.0152779560919245,0.0,-0.5,-1.0,0.0152779560919245,0.9837741244754227,-1.0,0.0152779560919245,0.9839712159264427,0.9939488125643606,0.9875536480686697
2024-10-31,225.91,-0.0182094741416775,0.6,1.0,-1.0,0.0182094741416775,1.0016881339563093,-1.0,0.0182094741416775,1.0018888143390101,0.9848991699640898,0.969570815450644
2024-11-01,222.91,-0.0132796246292771,0.25,1.0,-1.0,0.0132796246292771,1.01499017637085,-1.0,0.0132796246292771,1.0151935217137036,0.978359624326685,0.9566952789699574
2024-11-04,222.01,-0.004037503925351,0.0,0.3333333333333333,-1.0,0.004037503925351,1.01908820319214,-1.0,0.004037503925351,1.0192923695426137,0.976384558914873,0.9528326180257515
2024-11-05,223.45,0.0064861943155714,0.4,1.0,-1.0,-0.0064861943155714,1.0124781990815293,-1.0,-0.0064861943155714,1.0126810411693812,0.9795510689027956,0.9590128755364811
2024-11-06,222.72,-0.0032669501006936,0.4,0.4,-1.0,0.0032669501006936,1.0157859148359687,-1.0,0.0032669501006936,1.0159894195988,0.9779509966712023,0.9558798283261808
2024-11-07,227.48,0.0213721264367816,0.0,1.0,-1.0,-0.0213721264367816,0.9940764098313926,-1.0,-0.0213721264367816,0.9942755652647021,0.988401442846119,0.9763090128755371
2024-11-08,226.96,-0.0022859152452961,-0.5,0.5,-1.0,0.0022859152452961,0.9963487842516153,-1.0,0.0022859152452961,0.996548394937366,0.9872717418827817,0.9740772532188849
2024-11-11,224.23,-0.0120285512865704,0.6666666666666666,1.0,-1.0,0.0120285512865704,1.008333416702298,-1.0,0.0120285512865704,1.0085354284154195,0.9813340174922723,0.9623605150214599
2024-11-12,224.23,0.0,0.5,0.5,-1.0,-0.0,1.008333416702298,0.5,-0.00075,1.007779026844108,0.9813340174922723,0.9623605150214599
