date,close,news_score,sma,rsi,signal,market_return,position,turnover,transaction_cost,strategy_return_gross,strategy_return,window,sma_window,rsi_threshold,strategy_equity,benchmark_equity
2020-07-14,97.0575,0.0,91.60387499999999,73.96525182707856,0,0.016548401455840356,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.0165484014558404
2020-07-15,97.725,0.0,92.089125,75.0903542211523,0,0.006877366509543181,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.0235395773873424
2020-07-16,96.5225,1.0,92.520375,69.2816978139659,0,-0.012304937324123855,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,1.010944987038831
2020-07-17,96.3275,1.0,92.940125,68.3582409301884,0,-0.0020202543448417654,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,1.0089026210363699
2020-07-20,98.3575,0.0,93.4865,72.4718353338865,0,0.021073940463522955,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.0301641748055825
2020-07-21,97.0,0.0,93.85062500000001,66.26756979618077,0,-0.013801692804310872,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,1.0159461653269095
2020-07-22,97.2725,0.0,94.13262499999999,66.88050722997158,0,0.002809278350515365,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.0188002408944514
2020-07-23,92.845,0.0,94.274125,50.74624323656817,0,-0.045516461487059456,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,0.9724280589667722
2020-07-24,92.615,0.0,94.344375,50.07049421103599,0,-0.00247724702461094,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,0.9700191144510486
2020-07-27,94.81,0.0,94.6645,56.08117440817674,0,0.023700264535982285,0,0.0,0.0,0.0,0.0,1,20,40,1.0,0.9930088240684978
2020-07-28,93.2525,0.0,94.804875,51.356817777193726,0,-0.016427592026157622,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,0.976696080228326
2020-07-29,95.04,0.0,94.996875,55.94387873712155,0,0.019168386906517343,0,0.0,0.0,0.0,0.0,1,20,40,1.0,0.9954177685842215
2020-07-30,96.19,0.0,95.255,58.64577629697656,0,0.01210016835016825,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.0074624911628394
2020-07-31,106.26,0.0,96.016625,73.79881798236167,0,0.1046886370724609,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.1129323662643031
2020-08-03,108.9375,0.5,96.790375,76.28683922173224,0,0.025197628458498045,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.140975622528868
2020-08-04,109.665,0.0,97.615,76.92791338509825,0,0.006678141135972426,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.1485952187688198
2020-08-05,110.0625,1.0,98.351,77.28919034395588,0,0.0036246751470385696,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.1527585033122985
2020-08-06,113.9025,1.0,99.262,80.47060927010321,0,0.034889267461669426,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.1929774030530749
2020-08-07,111.1125,1.0,100.021625,72.52159539982023,0,-0.024494633568183377,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,1.1637558587101668
2020-08-10,112.7275,1.0,100.884125,74.11552222410819,0,0.014534818314771103,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.1806708386792695
2020-08-11,109.375,0.0,101.5,65.60780031334535,0,-0.029739859395444768,0,0.0,0.0,-0.0,-0.0,1,20,40,1.0,1.145557853944646
2020-08-12,113.01,0.0,102.26424999999999,69.67276883172083,0,0.03323428571428577,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.1836296509648865
2020-08-13,115.01,0.0,103.188625,71.65768776713797,0,0.01769754888947883,0,0.0,0.0,0.0,0.0,1,20,40,1.0,1.2045769945798743
