date,market_return,short_signal,one_day_position,one_day_return,one_day_equity,three_day_position,three_day_return,three_day_equity,benchmark_equity
2024-01-02,-0.0357866306549629,1,-1,0.0352866306549629,1.0352866306549628,-1,0.0352866306549629,1.0352866306549628,0.9642133693450371
2024-01-03,-0.0074876104287868,0,-1,0.0074876104287868,1.0430384536274386,-1,0.0074876104287868,1.0430384536274386,0.9569937152651535
2024-01-04,-0.0127001356852103,0,0,-0.0005,1.0425169344006249,-1,0.0127001356852103,1.056285183513399,0.9448397652313926
2024-01-05,-0.0040129734484084,0,0,-0.0,1.0425169344006249,-1,0.0040129734484084,1.0605240279087855,0.9410481483405185
2024-01-08,0.0241748537366155,0,0,0.0,1.0425169344006249,0,-0.0005,1.0599937658948313,0.9637978496857634
2024-01-09,-0.0022634188402673,0,0,-0.0,1.0425169344006249,0,-0.0,1.0599937658948313,0.9616163714745756
2024-01-10,0.0056713838176516,0,0,0.0,1.0425169344006249,0,0.0,1.0599937658948313,0.9670700670025454
2024-01-11,-0.0032225146355873,0,0,-0.0,1.0425169344006249,0,-0.0,1.0599937658948313,0.9639536695579913
2024-01-12,0.0017781130448837,0,0,0.0,1.0425169344006249,0,0.0,1.0599937658948313,0.9656676881524959
2024-01-16,-0.0123171256454388,1,0,-0.0,1.0425169344006249,0,-0.0,1.0599937658948313,0.9537734379057812
2024-01-17,-0.0051734466045852,0,-1,0.004673446604585201,1.047389081627922,-1,0.004673446604585201,1.064947590160934,0.948839141951904
2024-01-18,0.0325706152835558,0,0,-0.0005,1.0468653870871083,-1,-0.0325706152835558,1.0302615919046525,0.9797434166103988
2024-01-19,0.0155330541271272,0,0,0.0,1.0468653870871083,-1,-0.0155330541271272,1.0142584828324972,0.9949618241313046
2024-01-22,0.0121632908749216,0,0,0.0,1.0468653870871083,0,-0.0005,1.013751353591081,1.0070638342076563
2024-01-23,0.0066532570013926,0,0,0.0,1.0468653870871083,0,0.0,1.013751353591081,1.0137640887134478
2024-01-24,-0.0034839635208525,0,0,-0.0,1.0468653870871083,0,-0.0,1.013751353591081,1.0102321716096199
2024-01-25,-0.0016966580976864,0,0,-0.0,1.0468653870871083,0,-0.0,1.013751353591081,1.008518153015115
2024-01-26,-0.0090127208116599,0,0,-0.0,1.0468653870871083,0,-0.0,1.013751353591081,0.9994286604684989
2024-01-29,-0.0035859058309947,0,0,-0.0,1.0468653870871083,0,-0.0,1.013751353591081,0.9958448034072617
2024-01-30,-0.0192458144265372,0,0,-0.0,1.0468653870871083,0,-0.0,1.013751353591081,0.9766789591232541
2024-01-31,-0.0193575834928737,1,0,-0.0,1.0468653870871083,0,-0.0,1.013751353591081,0.9577728146262927
2024-02-01,0.0133405639913233,1,-1,-0.0138405639913233,1.0323761797068278,-1,-0.0138405639913233,0.999720463110413,0.9705500441489646
2024-02-02,-0.0054051161297229,1,-1,0.0054051161297229,1.0379562928477029,-1,0.0054051161297229,1.005124068310785,0.9653041084506317
2024-02-05,0.0098466505246166,0,-1,-0.0098466505246166,1.0277358999722048,-1,-0.0098466505246166,0.9952269628762477,0.9748091206565218
2024-02-06,0.0086317135549871,0,0,-0.0005,1.0272220320222187,-1,-0.0086317135549871,0.9866364488105,0.9832233937568178
2024-02-07,0.0005810882197569,0,0,0.0,1.0272220320222187,-1,-0.0005810882197569,0.9860631259929135,0.9837947332883193
2024-02-08,-0.0057547120004224,1,0,-0.0,1.0272220320222187,0,-0.0005,0.985570094429917,0.9781332779307127
2024-02-09,0.0028143585386575,0,-1,-0.0033143585386575,1.023817449909289,-1,-0.0033143585386575,0.9823035617719978,0.9808860956734021
2024-02-12,-0.0090018533227428,0,0,-0.0005,1.0233055411843344,-1,0.0090018533227428,0.9911461143534771,0.9720563029138323
2024-02-13,-0.0112743788405023,0,0,-0.0,1.0233055411843344,-1,0.0112743788405023,1.00232067113299,0.9610969719004837
2024-02-14,-0.0048097708603543,0,0,-0.0,1.0233055411843344,0,-0.0005,1.0018195107974235,0.956474315691062
2024-02-15,-0.0015748031496062,1,0,-0.0,1.0233055411843344,0,-0.0,1.0018195107974235,0.9549680569261942
2024-02-16,-0.0084303274230392,0,-1,0.0079303274230392,1.0314206891797364,-1,0.0079303274230392,1.009764267536836,0.9469173635277629
2024-02-20,-0.004113871976304,0,0,-0.0005,1.0309049788351465,-1,0.004113871976304,1.013918308459729,0.9430218667220704
2024-02-21,0.0041859440405374,0,0,0.0,1.0309049788351465,-1,-0.0041859440405374,1.00967410315884,0.9469693034851722
2024-02-22,0.0112439666520405,1,0,0.0,1.0309049788351465,0,-0.0005,1.0091692661072607,0.9576169947540655
2024-02-23,-0.0100341704181807,0,-1,0.0095341704181807,1.0407338025883117,-1,0.0095341704181807,1.0187908578711176,0.9480081026333571
2024-02-26,-0.0074512382204691,0,0,-0.0005,1.0402134356870176,-1,0.0074512382204691,1.0263821112499512,0.940944268425701
2024-02-27,0.008114374034003,0,0,0.0,1.0402134356870176,-1,-0.008114374034003,1.0180536628974595,0.9485794421648586
2024-02-28,-0.0066254175108142,0,0,-0.0,1.0402134356870176,0,-0.0005,1.0175446360660108,0.9422947073183411
2024-02-29,-0.0036930878624186,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.9388147301719224
2024-03-01,-0.006030428769018,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.9331532748143158
2024-03-04,-0.0253812757430702,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.9094686542357046
2024-03-05,-0.0284408909194745,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.8836025554459056
2024-03-06,-0.0058782036209734,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.8784085597049822
2024-03-07,-0.0007095553453169,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.8777852802160714
2024-03-08,0.0102366863905325,0,0,0.0,1.0402134356870176,0,0.0,1.0175446360660108,0.886770892847869
2024-03-11,0.0118315468868974,0,0,0.0,1.0402134356870176,0,0.0,1.0175446360660108,0.8972627642445345
2024-03-12,0.002778581765557,0,0,0.0,1.0402134356870176,0,0.0,1.0175446360660108,0.8997558822001777
2024-03-13,-0.0121226115568896,0,0,-0.0,1.0402134356870176,0,-0.0,1.0175446360660108,0.8888484911442384
2024-03-14,0.0109273651609886,0,0,0.0,1.0402134356870176,0,0.0,1.0175446360660108,0.8985612631797653
