date,market_return,baseline_position,baseline_return,baseline_equity,hybrid_position,hybrid_return,hybrid_equity,benchmark_equity
2024-01-02,-0.0357866306549629,-1,0.0352866306549629,1.0352866306549628,-1,0.0352866306549629,1.0352866306549628,0.9642133693450371
2024-01-03,-0.0074876104287868,-1,0.0074876104287868,1.0430384536274386,-1,0.0074876104287868,1.0430384536274386,0.9569937152651535
2024-01-04,-0.0127001356852103,0,-0.0005,1.0425169344006249,0,-0.0005,1.0425169344006249,0.9448397652313926
2024-01-05,-0.0040129734484084,0,-0.0,1.0425169344006249,0,-0.0,1.0425169344006249,0.9410481483405185
2024-01-08,0.0241748537366155,0,0.0,1.0425169344006249,0,0.0,1.0425169344006249,0.9637978496857634
2024-01-09,-0.0022634188402673,0,-0.0,1.0425169344006249,0,-0.0,1.0425169344006249,0.9616163714745756
2024-01-10,0.0056713838176516,0,0.0,1.0425169344006249,0,0.0,1.0425169344006249,0.9670700670025454
2024-01-11,-0.0032225146355873,0,-0.0,1.0425169344006249,0,-0.0,1.0425169344006249,0.9639536695579913
2024-01-12,0.0017781130448837,0,0.0,1.0425169344006249,0,0.0,1.0425169344006249,0.9656676881524959
2024-01-16,-0.0123171256454388,0,-0.0,1.0425169344006249,0,-0.0,1.0425169344006249,0.9537734379057812
2024-01-17,-0.0051734466045852,-1,0.004673446604585201,1.047389081627922,-1,0.004673446604585201,1.047389081627922,0.948839141951904
2024-01-18,0.0325706152835558,0,-0.0005,1.0468653870871083,0,-0.0005,1.0468653870871083,0.9797434166103988
2024-01-19,0.0155330541271272,0,0.0,1.0468653870871083,0,0.0,1.0468653870871083,0.9949618241313046
2024-01-22,0.0121632908749216,0,0.0,1.0468653870871083,0,0.0,1.0468653870871083,1.0070638342076563
2024-01-23,0.0066532570013926,0,0.0,1.0468653870871083,0,0.0,1.0468653870871083,1.0137640887134478
2024-01-24,-0.0034839635208525,0,-0.0,1.0468653870871083,0,-0.0,1.0468653870871083,1.0102321716096199
2024-01-25,-0.0016966580976864,0,-0.0,1.0468653870871083,0,-0.0,1.0468653870871083,1.008518153015115
2024-01-26,-0.0090127208116599,0,-0.0,1.0468653870871083,0,-0.0,1.0468653870871083,0.9994286604684989
2024-01-29,-0.0035859058309947,0,-0.0,1.0468653870871083,0,-0.0,1.0468653870871083,0.9958448034072617
2024-01-30,-0.0192458144265372,0,-0.0,1.0468653870871083,0,-0.0,1.0468653870871083,0.9766789591232541
2024-01-31,-0.0193575834928737,0,-0.0,1.0468653870871083,0,-0.0,1.0468653870871083,0.9577728146262927
2024-02-01,0.0133405639913233,-1,-0.0138405639913233,1.0323761797068278,-1,-0.0138405639913233,1.0323761797068278,0.9705500441489646
2024-02-02,-0.0054051161297229,-1,0.0054051161297229,1.0379562928477029,-1,0.0054051161297229,1.0379562928477029,0.9653041084506317
2024-02-05,0.0098466505246166,-1,-0.0098466505246166,1.0277358999722048,-1,-0.0098466505246166,1.0277358999722048,0.9748091206565218
2024-02-06,0.0086317135549871,0,-0.0005,1.0272220320222187,0,-0.0005,1.0272220320222187,0.9832233937568178
2024-02-07,0.0005810882197569,0,0.0,1.0272220320222187,0,0.0,1.0272220320222187,0.9837947332883193
2024-02-08,-0.0057547120004224,0,-0.0,1.0272220320222187,0,-0.0,1.0272220320222187,0.9781332779307127
2024-02-09,0.0028143585386575,-1,-0.0033143585386575,1.023817449909289,-1,-0.0033143585386575,1.023817449909289,0.9808860956734021
2024-02-12,-0.0090018533227428,0,-0.0005,1.0233055411843344,0,-0.0005,1.0233055411843344,0.9720563029138323
2024-02-13,-0.0112743788405023,0,-0.0,1.0233055411843344,0,-0.0,1.0233055411843344,0.9610969719004837
2024-02-14,-0.0048097708603543,0,-0.0,1.0233055411843344,0,-0.0,1.0233055411843344,0.956474315691062
2024-02-15,-0.0015748031496062,0,-0.0,1.0233055411843344,0,-0.0,1.0233055411843344,0.9549680569261942
2024-02-16,-0.0084303274230392,-1,0.0079303274230392,1.0314206891797364,-1,0.0079303274230392,1.0314206891797364,0.9469173635277629
2024-02-20,-0.004113871976304,0,-0.0005,1.0309049788351465,-1,0.004113871976304,1.035663821848733,0.9430218667220704
2024-02-21,0.0041859440405374,0,0.0,1.0309049788351465,-1,-0.0041859440405374,1.031328591045665,0.9469693034851722
2024-02-22,0.0112439666520405,0,0.0,1.0309049788351465,0,-0.0005,1.0308129267501422,0.9576169947540655
2024-02-23,-0.0100341704181807,-1,0.0095341704181807,1.0407338025883117,-1,0.0095341704181807,1.0406408728630416,0.9480081026333571
2024-02-26,-0.0074512382204691,0,-0.0005,1.0402134356870176,0,-0.0005,1.0401205524266102,0.940944268425701
2024-02-27,0.008114374034003,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.9485794421648586
2024-02-28,-0.0066254175108142,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.9422947073183411
2024-02-29,-0.0036930878624186,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.9388147301719224
2024-03-01,-0.006030428769018,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.9331532748143158
2024-03-04,-0.0253812757430702,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.9094686542357046
2024-03-05,-0.0284408909194745,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8836025554459056
2024-03-06,-0.0058782036209734,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8784085597049822
2024-03-07,-0.0007095553453169,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8777852802160714
2024-03-08,0.0102366863905325,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.886770892847869
2024-03-11,0.0118315468868974,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.8972627642445345
2024-03-12,0.002778581765557,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.8997558822001777
2024-03-13,-0.0121226115568896,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8888484911442384
2024-03-14,0.0109273651609886,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.8985612631797653
2024-03-15,-0.0021965317919074,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8965875447982145
2024-03-18,0.0063723786351523,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.9023009401132304
2024-03-19,0.0135850794381764,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.9145587700618099
2024-03-20,0.0147092230804177,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.9280112190308015
2024-03-21,-0.0408574466894273,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8900950501220601
2024-03-22,0.0053101476337749,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.8948215862463006
2024-03-25,-0.0083004411423265,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8873941723367799
2024-03-26,-0.0066725197541702,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8814730171921272
2024-03-27,0.0212126568852748,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.9001714018594518
2024-03-28,-0.0105591137268479,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8906663896535617
2024-04-01,-0.0084557965943549,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8831350958292228
2024-04-02,-0.0069987649238369,0,-0.0,1.0402134356870176,0,-0.0,1.0401205524266102,0.8769542408975239
2024-04-03,0.0047974413646054,0,0.0,1.0402134356870176,0,0.0,1.0401205524266102,0.8811613774476719
