date,close,market_return,window,sma,rsi,sma_window,rsi_threshold,qwen_score,qwen_bad_threshold,qwen_moderate_threshold,qwen_strong_threshold,qwen_position,qwen_turnover,qwen_return,qwen_equity,qwen_analyst_position,qwen_analyst_return,qwen_analyst_equity,finbert_score,finbert_bad_threshold,finbert_moderate_threshold,finbert_strong_threshold,finbert_position,finbert_turnover,finbert_return,finbert_equity,finbert_analyst_position,finbert_analyst_return,finbert_analyst_equity,benchmark_equity
2020-07-14,97.0575,0.0165484014558403,1,91.603875,73.96525182707856,20,40,1.0,0.75,1.0,1.0,0.5,0.5,0.00802420072792015,1.00802420072792,0.5,0.00802420072792015,1.00802420072792,0.0,-0.5,0.5,1.0,0.5,0.5,0.00802420072792015,1.00802420072792,0.5,0.00802420072792015,1.00802420072792,1.0165484014558404
2020-07-15,97.725,0.0068773665095431,1,92.089125,75.0903542211523,20,40,1.0,0.75,1.0,1.0,0.5,0.0,0.00343868325477155,1.0114904766673676,0.5,0.00343868325477155,1.0114904766673676,0.0,-0.5,0.5,1.0,0.5,0.0,0.00343868325477155,1.0114904766673676,0.5,0.00343868325477155,1.0114904766673676,1.0235395773873424
2020-07-16,96.5225,-0.0123049373241238,1,92.520375,69.2816978139659,20,40,1.0,0.75,1.0,1.0,0.5,0.0,-0.0061524686620619,1.0052673132076975,0.5,-0.0061524686620619,1.0052673132076975,1.0,-0.5,0.5,1.0,0.5,0.0,-0.0061524686620619,1.0052673132076975,0.5,-0.0061524686620619,1.0052673132076975,1.010944987038831
2020-07-17,96.3275,-0.0020202543448417,1,92.940125,68.3582409301884,20,40,1.0,0.75,1.0,1.0,0.5,0.0,-0.00101012717242085,1.0042518653790797,0.5,-0.00101012717242085,1.0042518653790797,1.0,-0.5,0.5,1.0,0.5,0.0,-0.00101012717242085,1.0042518653790797,0.5,-0.00101012717242085,1.0042518653790797,1.0089026210363699
2020-07-20,98.3575,0.0210739404635229,1,93.4865,72.4718353338865,20,40,1.0,0.75,1.0,1.0,0.5,0.0,0.01053697023176145,1.01483363738977,0.5,0.01053697023176145,1.01483363738977,0.0,-0.5,0.5,1.0,0.5,0.0,0.01053697023176145,1.01483363738977,0.5,0.01053697023176145,1.01483363738977,1.0301641748055825
2020-07-21,97.0,-0.0138016928043108,1,93.850625,66.26756979618077,20,40,0.0,0.75,1.0,1.0,0.5,0.0,-0.0069008464021554,1.0078304263344025,0.5,-0.0069008464021554,1.0078304263344025,0.0,-0.5,0.5,1.0,0.5,0.0,-0.0069008464021554,1.0078304263344025,0.5,-0.0069008464021554,1.0078304263344025,1.0159461653269095
2020-07-22,97.2725,0.0028092783505153,1,94.132625,66.88050722997158,20,40,0.0,0.75,1.0,1.0,0.5,0.0,0.00140463917525765,1.0092460644332484,0.5,0.00140463917525765,1.0092460644332484,0.0,-0.5,0.5,1.0,0.5,0.0,0.00140463917525765,1.0092460644332484,0.5,0.00140463917525765,1.0092460644332484,1.0188002408944514
2020-07-23,92.845,-0.0455164614870594,1,94.274125,50.74624323656817,20,40,0.0,0.75,1.0,1.0,0.5,0.0,-0.0227582307435297,0.9862774096218773,0.5,-0.0227582307435297,0.9862774096218773,0.0,-0.5,0.5,1.0,0.5,0.0,-0.0227582307435297,0.9862774096218773,0.5,-0.0227582307435297,0.9862774096218773,0.9724280589667723
2020-07-24,92.615,-0.0024772470246109,1,94.344375,50.07049421103599,20,40,0.0,0.75,1.0,1.0,0.5,0.0,-0.00123862351230545,0.985055783232664,0.5,-0.00123862351230545,0.985055783232664,0.0,-0.5,0.5,1.0,0.5,0.0,-0.00123862351230545,0.985055783232664,0.5,-0.00123862351230545,0.985055783232664,0.9700191144510487
2020-07-27,94.81,0.0237002645359822,1,94.6645,56.08117440817674,20,40,0.0,0.75,1.0,1.0,0.5,0.0,0.0118501322679911,0.9967288245553206,0.5,0.0118501322679911,0.9967288245553206,0.0,-0.5,0.5,1.0,0.5,0.0,0.0118501322679911,0.9967288245553206,0.5,0.0118501322679911,0.9967288245553206,0.9930088240684979
