sentiment_threshold,holding_days,signal_events,entries,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,positive_day_rate,exposure,active_days,active_day_hit_rate,total_turnover,estimated_cost
0.1,1,38,25,230,0.038350456876694805,0.04209495519804496,0.08775824040639243,0.05720707237128373,0.05673510918873623,0.05548243490845883,0.09130434782608696,0.16956521739130434,39,0.5384615384615384,49.0,0.0245
0.1,2,38,19,230,-0.012375856679615382,-0.013551578359953464,0.10365842932761424,-0.46625177990057604,-0.4464437295945739,0.07906155173381246,0.13478260869565217,0.2782608695652174,64,0.484375,37.0,0.0185
0.1,3,38,13,230,0.002447352494519439,0.0026817607057956216,0.12674459307436067,-0.23144292325131982,-0.20927352395312057,0.12942962010343984,0.1826086956521739,0.36086956521739133,83,0.5060240963855421,25.0,0.0125
0.1,5,38,11,230,0.03410986088326884,0.03743289368959224,0.14767804291119843,0.05134558146535829,0.05607011158949418,0.09538320656296895,0.23043478260869565,0.4652173913043478,107,0.4953271028037383,21.0,0.0105
0.2,1,25,18,230,0.053393110122766485,0.058647317405364996,0.08347272899170327,0.2445837293327538,0.21718106563926348,0.041832805833928344,0.06086956521739131,0.11304347826086956,26,0.5384615384615384,36.0,0.018
0.2,2,25,16,230,0.034920050208488984,0.03832346525568542,0.09840937874710218,0.02432582535616368,0.0199701600470147,0.06250538586300858,0.10434782608695652,0.19130434782608696,44,0.5454545454545454,32.0,0.016
0.2,3,25,14,230,0.00680624047395928,0.007459694667315553,0.12175584454305738,-0.20695773223587563,-0.16602158172341536,0.12296448175700025,0.13478260869565217,0.2608695652173913,60,0.5166666666666667,28.0,0.014
0.2,5,25,10,230,-0.05111523120463135,-0.05586544070236954,0.13482612798694543,-0.6559372228294341,-0.6190743930486989,0.1280131064278922,0.1826086956521739,0.3695652173913043,85,0.49411764705882355,20.0,0.01
0.3,1,11,10,230,0.021384066762256015,0.023453308055340294,0.0640874718529196,-0.23101796318952852,-0.13225437904864987,0.043225155937083426,0.02608695652173913,0.04782608695652174,11,0.5454545454545454,20.0,0.01
0.3,2,11,9,230,0.01805673171026556,0.019800890180106334,0.07111441423112405,-0.25179626441010416,-0.1583447661023157,0.05741752857461069,0.04782608695652174,0.09130434782608696,21,0.5238095238095238,18.0,0.009
0.3,3,11,7,230,0.049171328414455706,0.053999533223968665,0.07673090489893815,0.201928366466735,0.14242904777739038,0.04915812032449607,0.06956521739130435,0.13043478260869565,30,0.5333333333333333,14.0,0.007
0.3,5,11,6,230,-0.032870913657891854,-0.03595789916735126,0.08726093372970539,-0.8349144757485063,-0.6637346495581522,0.09442260585491935,0.08260869565217391,0.18695652173913044,43,0.4418604651162791,12.0,0.006
