date,market_return,baseline_position,baseline_return,baseline_equity,benchmark_equity,threshold_0.00_hold_1d_position,threshold_0.00_hold_1d_return,threshold_0.00_hold_1d_equity,threshold_0.00_hold_3d_position,threshold_0.00_hold_3d_return,threshold_0.00_hold_3d_equity,threshold_0.05_hold_1d_position,threshold_0.05_hold_1d_return,threshold_0.05_hold_1d_equity,threshold_0.05_hold_3d_position,threshold_0.05_hold_3d_return,threshold_0.05_hold_3d_equity
2022-01-03,0.0250042236864334,0.5,0.0125021118432167,1.0125021118432167,1.0250042236864334,0.5,0.0125021118432167,1.0125021118432167,0.5,0.0125021118432167,1.0125021118432167,0.5,0.0125021118432167,1.0125021118432167,0.5,0.0125021118432167,1.0125021118432167
2022-01-04,-0.0126916103510795,0.5,-0.00634580517553975,1.006076970701637,1.0119952694711944,0.5,-0.00634580517553975,1.006076970701637,0.5,-0.00634580517553975,1.006076970701637,0.5,-0.00634580517553975,1.006076970701637,0.5,-0.00634580517553975,1.006076970701637
2022-01-05,-0.0265998887033945,0.5,-0.01329994435169725,0.9926962029777812,0.985076307934899,0.5,-0.01329994435169725,0.9926962029777812,0.5,-0.01329994435169725,0.9926962029777812,0.5,-0.01329994435169725,0.9926962029777812,0.5,-0.01329994435169725,0.9926962029777812
2022-01-06,-0.0166933455293848,0.5,-0.0083466727646924,0.984410492616773,0.968632088753731,0.5,-0.0083466727646924,0.984410492616773,0.5,-0.0083466727646924,0.984410492616773,0.5,-0.0083466727646924,0.984410492616773,0.5,-0.0083466727646924,0.984410492616773
2022-01-07,0.0009883720930232,0.5,0.0004941860465116,0.9848969745462638,0.969589457678662,0.5,0.0004941860465116,0.9848969745462638,0.5,0.0004941860465116,0.9848969745462638,0.5,0.0004941860465116,0.9848969745462638,0.5,0.0004941860465116,0.9848969745462638
2022-01-10,0.0001161642562583,-1.0,-0.0008661642562583001,0.9840438919908149,0.9697020893168892,-1.0,-0.0008661642562583001,0.9840438919908149,-1.0,-0.0008661642562583001,0.9840438919908149,-1.0,-0.0008661642562583001,0.9840438919908149,-1.0,-0.0008661642562583001,0.9840438919908149
2022-01-11,0.0167837853533887,0.5,0.00764189267669435,0.9915638498025653,0.9859773610407164,0.5,0.00764189267669435,0.9915638498025653,0.5,0.00764189267669435,0.9915638498025653,0.5,0.00764189267669435,0.9915638498025653,0.5,0.00764189267669435,0.9915638498025653
2022-01-12,0.0025702535983549,0.5,0.00128512679917745,0.9928381350790421,0.9885115729008278,0.5,0.00128512679917745,0.9928381350790421,0.5,0.00128512679917745,0.9928381350790421,0.5,0.00128512679917745,0.9928381350790421,0.5,0.00128512679917745,0.9928381350790421
2022-01-13,-0.0190280863670028,-1.0,0.0182780863670028,1.010985316260471,0.9697020893168891,-1.0,0.0182780863670028,1.010985316260471,-1.0,0.0182780863670028,1.010985316260471,-1.0,0.0182780863670028,1.010985316260471,-1.0,0.0182780863670028,1.010985316260471
2022-01-14,0.0051106336024158,-1.0,-0.0051106336024158,1.0058185407316411,0.9746578813988848,-1.0,-0.0051106336024158,1.0058185407316411,-1.0,-0.0051106336024158,1.0058185407316411,-1.0,-0.0051106336024158,1.0058185407316411,-1.0,-0.0051106336024158,1.0058185407316411
