date,market_return,baseline_position,baseline_return,baseline_equity,earnings_position,earnings_return,earnings_equity,benchmark_equity
2022-01-03,0.0250042236864334,0.5,0.0125021118432167,1.0125021118432167,0.5,0.0125021118432167,1.0125021118432167,1.0250042236864334
2022-01-04,-0.0126916103510795,0.5,-0.00634580517553975,1.006076970701637,0.5,-0.00634580517553975,1.006076970701637,1.0119952694711944
2022-01-05,-0.0265998887033945,0.5,-0.01329994435169725,0.9926962029777812,0.5,-0.01329994435169725,0.9926962029777812,0.985076307934899
2022-01-06,-0.0166933455293848,0.5,-0.0083466727646924,0.984410492616773,0.5,-0.0083466727646924,0.984410492616773,0.968632088753731
2022-01-07,0.0009883720930232,0.5,0.0004941860465116,0.9848969745462638,0.5,0.0004941860465116,0.9848969745462638,0.969589457678662
2022-01-10,0.0001161642562583,-1.0,-0.0008661642562583001,0.9840438919908149,-1.0,-0.0008661642562583001,0.9840438919908149,0.9697020893168892
2022-01-11,0.0167837853533887,0.5,0.00764189267669435,0.9915638498025653,0.5,0.00764189267669435,0.9915638498025653,0.9859773610407164
2022-01-12,0.0025702535983549,0.5,0.00128512679917745,0.9928381350790421,0.5,0.00128512679917745,0.9928381350790421,0.9885115729008278
2022-01-13,-0.0190280863670028,-1.0,0.0182780863670028,1.010985316260471,-1.0,0.0182780863670028,1.010985316260471,0.9697020893168891
2022-01-14,0.0051106336024158,-1.0,-0.0051106336024158,1.0058185407316411,-1.0,-0.0051106336024158,1.0058185407316411,0.9746578813988848
2022-01-18,-0.0188940890968971,-1.0,0.0188940890968971,1.0248225658555359,-1.0,0.0188940890968971,1.0248225658555359,0.9562426085487413
2022-01-19,-0.0210247349823322,0.5,-0.011262367491166101,1.0132806375056311,0.5,-0.011262367491166101,1.0132806375056311,0.93613786112519
2022-01-20,-0.0103471094266979,0.5,-0.00517355471334895,1.0080383746875188,0.5,-0.00517355471334895,1.0080383746875188,0.9264515402376527
2022-01-21,-0.0127651814479362,0.5,-0.0063825907239681,1.0016044783078344,0.5,-0.0063825907239681,1.0016044783078344,0.9146252182237992
2022-01-24,-0.0048642324979988,0.5,-0.0024321162489994,0.9991684597810713,0.5,-0.0024321162489994,0.9991684597810713,0.9101762685138257
2022-01-25,-0.0113847296126716,0.5,-0.0056923648063358,0.9934808284050127,0.5,-0.0056923648063358,0.9934808284050127,0.8998141577969254
2022-01-26,-0.0005632745024408,0.5,-0.0002816372512204,0.9932010271953605,0.5,-0.0002816372512204,0.9932010271953605,0.8993073154249032
2022-01-27,-0.002943202454756,0.5,-0.001471601227378,0.9917394313447068,0.5,-0.001471601227378,0.9917394313447068,0.8966604719265646
2022-01-28,0.0697776661223466,0.5,0.0348888330611733,1.0263400628050754,0.5,0.0348888330611733,1.0263400628050754,0.9592273469617622
2022-01-31,0.0261257558856335,0.5,0.01306287794281675,1.039747017773321,1.0,0.0258757558856335,1.0528973877258654,0.9842878864673091
2022-02-01,-0.0009726513331044,0.5,-0.0004863256665522,1.0392413621118568,1.0,-0.0009726513331044,1.0518732856780717,0.9833305175423782
2022-02-02,0.0070442700876238,0.5,0.0035221350438119,1.0429017105323297,1.0,0.0070442700876238,1.0592829652003444,0.9902573632933497
2022-02-03,-0.0167197452229299,0.5,-0.00835987261146495,1.0341831850860006,0.5,-0.008609872611464951,1.0501626738104746,0.9737005124739546
2022-02-04,-0.0029496818970504,0.5,-0.0014748409485252,1.0326579293763596,0.5,-0.0014748409485252,1.0486138508965261,0.9708284056991615
2022-02-07,-0.0042345843726433,1.0,-0.0044845843726433006,1.0280268877639922,1.0,-0.0044845843726433006,1.0439112536078583,0.9667173509038696
2022-02-08,0.0184667365722941,0.5,0.008983368286147049,1.0372620319048378,0.5,0.008983368286147049,1.0532890928570713,0.9845694655628774
2022-02-09,0.0082937710919177,0.5,0.00414688554595885,1.0415634388323158,0.5,0.00414688554595885,1.0576569621719563,0.9927352593343477
2022-02-10,-0.023598820058997,0.5,-0.0117994100294985,1.0292736047457989,0.5,-0.0117994100294985,1.0451772340047356,0.9693078785830946
2022-02-11,-0.0202184522426215,0.5,-0.01010922612131075,1.018868445134727,0.5,-0.01010922612131075,1.0346113010093356,0.9497099735315655
2022-02-14,0.0014231499051233,0.5,0.00071157495256165,1.0195934464002403,0.5,0.00071157495256165,1.035347504496771,0.9510615531902916
2022-02-15,0.0231525343439127,0.5,0.01157626717195635,1.0313965325425452,0.5,0.01157626717195635,1.047332963824644,0.9730810384637049
2022-02-16,-0.0013889692690548,0.5,-0.0006944846345274,1.0306802434985896,0.5,-0.0006944846345274,1.0466056071740337,0.9717294588049787
2022-02-17,-0.0212691973341061,0.5,-0.01063459866705305,1.0197193727549214,0.5,-0.01063459866705305,1.0354753765790505,0.9510615531902915
2022-02-18,-0.0093557555660823,-1.0,0.008605755566082299,1.028494828422849,-1.0,0.008605755566082299,1.0443864245645869,0.9421636537703446
2022-02-22,-0.0178123132098028,0.5,-0.0096561566049014,1.0185635212922668,0.5,-0.0096561566049014,1.0343016656929582,0.925381539674495
2022-02-23,-0.0258641674780915,0.5,-0.01293208373904575,1.005391372541378,0.5,-0.01293208373904575,1.0209259899407823,0.9014473165512197
2022-02-24,0.0166802024114451,0.5,0.00834010120572255,1.0137764383397332,0.5,0.00834010120572255,1.0294406160204408,0.9164836402545481
