date,market_return,overlay_position,overlay_turnover,overlay_return,overlay_equity,passive_50_return,passive_50_equity,tiered_short_return,tiered_short_equity,original_strategy_return,original_strategy_equity,benchmark_equity
2020-07-14,0.0165484014558403,0.5,0.5,0.00802420072792015,1.00802420072792,0.00802420072792015,1.00802420072792,0.0,1.0,0.0,1.0,1.0165484014558404
2020-07-15,0.0068773665095431,0.5,0.0,0.00343868325477155,1.0114904766673676,0.00343868325477155,1.0114904766673676,0.0,1.0,0.0,1.0,1.0235395773873424
2020-07-16,-0.0123049373241238,0.5,0.0,-0.0061524686620619,1.0052673132076975,-0.0061524686620619,1.0052673132076975,-0.0,1.0,-0.0,1.0,1.010944987038831
2020-07-17,-0.0020202543448417,0.5,0.0,-0.00101012717242085,1.0042518653790797,-0.00101012717242085,1.0042518653790797,-0.0,1.0,-0.0,1.0,1.0089026210363699
2020-07-20,0.0210739404635229,0.5,0.0,0.01053697023176145,1.01483363738977,0.01053697023176145,1.01483363738977,0.0,1.0,0.0,1.0,1.0301641748055825
2020-07-21,-0.0138016928043108,0.5,0.0,-0.0069008464021554,1.0078304263344025,-0.0069008464021554,1.0078304263344025,-0.0,1.0,-0.0,1.0,1.0159461653269095
2020-07-22,0.0028092783505153,0.5,0.0,0.00140463917525765,1.0092460644332484,0.00140463917525765,1.0092460644332484,0.0,1.0,0.0,1.0,1.0188002408944514
2020-07-23,-0.0455164614870594,0.5,0.0,-0.0227582307435297,0.9862774096218773,-0.0227582307435297,0.9862774096218773,-0.0,1.0,-0.0,1.0,0.9724280589667723
2020-07-24,-0.0024772470246109,0.5,0.0,-0.00123862351230545,0.985055783232664,-0.00123862351230545,0.985055783232664,-0.0,1.0,-0.0,1.0,0.9700191144510487
2020-07-27,0.0237002645359822,0.5,0.0,0.0118501322679911,0.9967288245553206,0.0118501322679911,0.9967288245553206,0.0,1.0,0.0,1.0,0.9930088240684979
2020-07-28,-0.0164275920261576,0.5,0.0,-0.0082137960130788,0.9885418973100674,-0.0082137960130788,0.9885418973100674,-0.0,1.0,-0.0,1.0,0.9766960802283261
2020-07-29,0.0191683869065173,0.5,0.0,0.00958419345325865,0.9980162740905383,0.00958419345325865,0.9980162740905383,0.0,1.0,0.0,1.0,0.9954177685842216
2020-07-30,0.0121001683501682,0.5,0.0,0.0060500841750841,1.0040543565568898,0.0060500841750841,1.0040543565568898,0.0,1.0,0.0,1.0,1.0074624911628396
2020-07-31,0.1046886370724609,0.5,0.0,0.05234431853623045,1.0566108976241935,0.05234431853623045,1.0566108976241935,0.0,1.0,0.0,1.0,1.1129323662643034
2020-08-03,0.025197628458498,0.5,0.0,0.012598814229249,1.0699229420359608,0.012598814229249,1.0699229420359608,0.0,1.0,0.0,1.0,1.1409756225288683
2020-08-04,0.0066781411359724,0.5,0.0,0.0033390705679862,1.0734954902417262,0.0033390705679862,1.0734954902417262,0.0,1.0,0.0,1.0,1.14859521876882
2020-08-05,0.0036246751470385,0.5,0.0,0.00181233757351925,1.0754410264536949,0.00181233757351925,1.0754410264536949,0.0,1.0,0.0,1.0,1.1527585033122987
2020-08-06,0.0348892674616694,0.5,0.0,0.0174446337308347,1.0942017012592926,0.0174446337308347,1.0942017012592926,0.0,1.0,0.0,1.0,1.1929774030530753
2020-08-07,-0.0244946335681833,0.5,0.0,-0.01224731678409165,1.080800666398278,-0.01224731678409165,1.080800666398278,-0.0,1.0,-0.0,1.0,1.1637558587101673
2020-08-10,0.0145348183147711,0.5,0.0,0.00726740915738555,1.0886552870585693,0.00726740915738555,1.0886552870585693,0.0,1.0,0.0,1.0,1.18067083867927
2020-08-11,-0.0297398593954447,0.5,0.0,-0.01486992969772235,1.0724670594749546,-0.01486992969772235,1.0724670594749546,-0.0,1.0,-0.0,1.0,1.1455578539446467
2020-08-12,0.0332342857142857,0.5,0.0,0.01661714285714285,1.0902883978118298,0.01661714285714285,1.0902883978118298,0.0,1.0,0.0,1.0,1.1836296509648871
2020-08-13,0.0176975488894788,0.5,0.0,0.0088487744447394,1.099936113923783,0.0088487744447394,1.099936113923783,0.0,1.0,0.0,1.0,1.204576994579875
2020-08-14,-0.0008912268498392,0.5,0.0,-0.0004456134249196,1.099445967624865,-0.0004456134249196,1.099445967624865,-0.0,1.0,-0.0,1.0,1.2035034432196068
2020-08-17,-0.0026107956399712,0.5,0.0,-0.0013053978199856,1.0980107532555354,-0.0013053978199856,1.0980107532555354,-0.0,1.0,-0.0,1.0,1.2003613416773586
2020-08-18,0.0083327879938048,0.5,0.0,0.0041663939969024,1.1025854986664334,0.0041663939969024,1.1025854986664334,0.0,1.0,0.0,1.0,1.2103636982535153
2020-08-19,0.0012547322877229,0.5,0.0,0.00062736614386145,1.1032772234790091,0.00062736614386145,1.1032772234790091,0.0,1.0,0.0,1.0,1.2118823806656018
2020-08-20,0.0221895728453211,0.5,0.0,0.01109478642266055,1.1155178486384947,0.01109478642266055,1.1155178486384947,0.0,1.0,0.0,1.0,1.2387735330313425
2020-08-21,0.0515324455717607,1.0,0.5,0.0512824455717607,1.1727243319956258,0.02576622278588035,1.14426053004814,0.0,1.0,0.0510324455717607,1.0510324455717608,1.302610562698018
2020-08-24,0.0119602798102436,0.5,0.5,0.0057301399051218,1.179444206488101,0.0059801399051218,1.1511033681057368,0.0,1.0,-0.0005,1.050506929348975,1.3181901495116652
2020-08-25,-0.0082037224638976,0.5,0.0,-0.0041018612319488,1.174606290022261,-0.0041018612319488,1.1463817018261382,-0.0,1.0,-0.0,1.050506929348975,1.307376083370428
2020-08-26,0.0135990386541156,1.0,0.5,0.013349038654115599,1.1902861547911352,0.0067995193270578,1.1541765463638904,0.0,1.0,0.0130990386541156,1.0642675602229337,1.3251551412636486
2020-08-27,-0.0119543954632573,0.5,0.5,-0.00622719773162865,1.1828740075480308,-0.00597719773162865,1.1472778049290653,-0.0,1.0,-0.0005,1.0637354264428223,1.3093137126548144
2020-08-28,-0.0016198704103671,0.5,0.0,-0.00080993520518355,1.181915956246021,-0.00080993520518355,1.1463485842447274,-0.0,1.0,-0.0,1.0637354264428223,1.3071927941137969
2020-08-31,0.0339122248262322,0.5,0.0,0.0169561124131161,1.2019566560629842,0.0169561124131161,1.1657861997037975,0.0,1.0,0.0,1.0637354264428223,1.3515226100390147
