window,sma_window,rsi_threshold,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,positive_day_rate,exposure,active_days,active_day_hit_rate,total_turnover,estimated_cost
1,10,40,132,-0.029796676046803805,-0.056113420661976,0.07728104942259004,-1.2252150150413461,-0.28233880031823066,0.055496628738654796,0.022727272727272728,0.03787878787878788,5,0.6,8.0,0.004
1,10,45,132,-0.029796676046803805,-0.056113420661976,0.07728104942259004,-1.2252150150413461,-0.28233880031823066,0.055496628738654796,0.022727272727272728,0.03787878787878788,5,0.6,8.0,0.004
1,10,50,132,0.027210016897589284,0.052588352894122226,0.025199394817696712,0.45913599982561953,0.0,0.0004999999999999449,0.022727272727272728,0.022727272727272728,3,1.0,6.0,0.003
1,10,55,132,0.027210016897589284,0.052588352894122226,0.025199394817696712,0.45913599982561953,0.0,0.0004999999999999449,0.022727272727272728,0.022727272727272728,3,1.0,6.0,0.003
1,10,60,132,0.013885535548144867,0.026675992358886402,0.01685234035290253,-0.8029951383007852,0.0,0.000500000000000056,0.015151515151515152,0.015151515151515152,2,1.0,4.0,0.002
1,20,40,132,0.05990505438168725,0.1174727196889831,0.05107046430754606,1.4169681781427916,0.0,0.000500000000000056,0.030303030303030304,0.030303030303030304,4,1.0,8.0,0.004
1,20,45,132,0.05990505438168725,0.1174727196889831,0.05107046430754606,1.4169681781427916,0.0,0.000500000000000056,0.030303030303030304,0.030303030303030304,4,1.0,8.0,0.004
1,20,50,132,0.05990505438168725,0.1174727196889831,0.05107046430754606,1.4169681781427916,0.0,0.000500000000000056,0.030303030303030304,0.030303030303030304,4,1.0,8.0,0.004
1,20,55,132,0.027210016897589284,0.052588352894122226,0.025199394817696712,0.45913599982561953,0.0,0.0004999999999999449,0.022727272727272728,0.022727272727272728,3,1.0,6.0,0.003
1,20,60,132,0.013885535548144867,0.026675992358886402,0.01685234035290253,-0.8029951383007852,0.0,0.000500000000000056,0.015151515151515152,0.015151515151515152,2,1.0,4.0,0.002
1,30,40,132,0.05990505438168725,0.1174727196889831,0.05107046430754606,1.4169681781427916,0.0,0.000500000000000056,0.030303030303030304,0.030303030303030304,4,1.0,8.0,0.004
1,30,45,132,0.05990505438168725,0.1174727196889831,0.05107046430754606,1.4169681781427916,0.0,0.000500000000000056,0.030303030303030304,0.030303030303030304,4,1.0,8.0,0.004
1,30,50,132,0.05990505438168725,0.1174727196889831,0.05107046430754606,1.4169681781427916,0.0,0.000500000000000056,0.030303030303030304,0.030303030303030304,4,1.0,8.0,0.004
1,30,55,132,0.027210016897589284,0.052588352894122226,0.025199394817696712,0.45913599982561953,0.0,0.0004999999999999449,0.022727272727272728,0.022727272727272728,3,1.0,6.0,0.003
1,30,60,132,0.013885535548144867,0.026675992358886402,0.01685234035290253,-0.8029951383007852,0.0,0.000500000000000056,0.015151515151515152,0.015151515151515152,2,1.0,4.0,0.002
2,10,40,132,0.19276626725833812,0.40007441532597743,0.16155955841091604,1.9157020287849376,1.3407040916273516,0.055496628738654796,0.07575757575757576,0.09848484848484848,13,0.7692307692307693,22.0,0.011
2,10,45,132,0.19276626725833812,0.40007441532597743,0.16155955841091604,1.9157020287849376,1.3407040916273516,0.055496628738654796,0.07575757575757576,0.09848484848484848,13,0.7692307692307693,22.0,0.011
2,10,50,132,0.14691876840072782,0.299131937209121,0.10183729302082994,2.2277593283189736,2.181312252108692,0.022196974785903212,0.06060606060606061,0.06818181818181818,9,0.8888888888888888,18.0,0.009
2,10,55,132,0.10178189329844467,0.20327359426487535,0.09265672900356707,1.6110945948322837,1.2837655580288103,0.022196974785903212,0.045454545454545456,0.05303030303030303,7,0.8571428571428571,14.0,0.007
2,10,60,132,0.05509393983391786,0.10780898146315221,0.08030991451217576,0.8159505989700203,0.4880354568478144,0.022196974785903212,0.030303030303030304,0.03787878787878788,5,0.8,10.0,0.005
